排名,电影名称(cn),电影名称(en),导演,上映年份,制作国家,类型,评分,评价分数,短评
98,Jagten,狩猎,导演: 托马斯·温特伯格 Thomas Vinterberg,2012,丹麦 瑞典,剧情,9.1,348305,人言可畏。
121,Gone Girl,消失的爱人,导演: 大卫·芬奇 David Fincher,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,841906,年度最佳date movie。
99,Call Me by Your Name,请以你的名字呼唤我,导演: 卢卡·瓜达尼诺 Luca Guadagnino,2017,意大利 法国 巴西 美国,剧情 爱情 同性,8.9,646461,沉醉在电影的情感和视听氛围中无法自拔。
122,リトル・フォレスト 冬・春,小森林 冬春篇,导演: 森淳一 Junichi Mori,2015,日本,剧情,9.0,347663,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
100,7번방의 선물,7号房的礼物,导演: 李焕庆 Hwan-kyeong Lee,2013,韩国,剧情 喜剧 家庭,8.9,502482,《我是山姆》的《美丽人生》。
123,借りぐらしのアリエッティ,借东西的小人阿莉埃蒂,导演: 米林宏昌 Hiromasa Yonebayashi,2010,日本,动画 奇幻 冒险,8.9,499472,曾经的那段美好会沉淀为一辈子的记忆。
124,倩女幽魂(87版)    倩女幽魂：妖魔道,倩女幽魂,导演: 程小东 Siu-Tung Ching,1987,中国香港,爱情 奇幻 武侠 古装,8.8,669576,两张绝世的脸。 
35,Up,飞屋环游记,导演: 彼特·道格特 Pete Docter  鲍勃·彼德森 Bob Peterson,2009,美国,剧情 喜剧 动画 冒险,9.1,1211809,最后那些最无聊的事情，才是最值得怀念的。 
125,Comrades: Almost a Love Story,甜蜜蜜,导演: 陈可辛 Peter Chan,1996,中国香港,剧情 爱情,8.9,476659,相逢只要一瞬间，等待却像是一辈子。
36,Dangal,摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari,2016,印度,剧情 传记 运动 家庭,9.0,1439843,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
37,中国药神    印度药神,我不是药神,导演: 文牧野 Muye Wen,2018,中国大陆,剧情 喜剧,9.0,1919803,对我们国家而言，这样的电影多一部是一部。
38,كفرناحوم,何以为家,导演: 娜丁·拉巴基 Nadine Labaki,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,944734,凝视卑弱生命，用电影改变命运。
39,12 Angry Men,十二怒汉,导演: Sidney Lumet,1957,美国,剧情,9.4,434601,1957年的理想主义。 
40,ハウルの動く城,哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki,2004,日本,动画 奇幻 冒险,9.1,918053,带着心爱的人在天空飞翔。
41,Life of Pi,少年派的奇幻漂流,导演: 李安 Ang Lee,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1246795,瑰丽壮观、无人能及的冒险之旅。
42,Devils on the Doorstep,鬼子来了,导演: 姜文 Wen Jiang,2000,中国大陆,剧情 喜剧,9.3,565106,对敌人的仁慈，就是对自己残忍。
43,西遊記第壹佰零壹回之月光寶盒,大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,1119688,旷古烁今。
44,Catch Me If You Can,猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2002,美国 加拿大,传记 犯罪 剧情,9.1,887848,骗子大师和执著警探的你追我跑故事。 
45,天空の城ラピュタ,天空之城,导演: 宫崎骏 Hayao Miyazaki,1986,日本,动画 奇幻 冒险,9.1,752249,对天空的追逐，永不停止。 
46,Scent of a Woman,闻香识女人,导演: 马丁·布莱斯 Martin Brest,1992,美国,剧情,9.1,795445,史上最美的探戈。
47,Nuovo Cinema Paradiso,天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1988,意大利 法国,剧情 爱情,9.2,630500,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
48,The Lord of the Rings: The Two Towers,指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.2,682046,承前启后的史诗篇章。
49,The Pianist,钢琴家,导演: 罗曼·波兰斯基 Roman Polanski,2002,英国 法国 波兰 德国,剧情 传记 战争 音乐,9.3,549677,音乐能化解仇恨。
50,让子弹飞一会儿    火烧云,让子弹飞,导演: 姜文 Wen Jiang,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,8.9,1522927,你给我翻译翻译，神马叫做TMD的惊喜。
126,耳をすませば,侧耳倾听,导演: 近藤喜文 Yoshifumi Kondo,1995,日本,剧情 爱情 动画,8.9,419430,少女情怀总是诗。
127,The Terminal,幸福终点站,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2004,美国,喜剧 剧情 爱情,8.8,512209,有时候幸福需要等一等。 
128,About Time,时空恋旅人,导演: 理查德·柯蒂斯 Richard Curtis,2013,英国,喜剧 爱情 奇幻,8.8,586670,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
129,How to Train Your Dragon,驯龙高手,导演: 迪恩·德布洛斯 Dean DeBlois  克里斯·桑德斯 Chris Sanders,2010,美国,动画 奇幻 冒险,8.7,691855,和谐的生活离不开摸头与被摸头。
130,蛍火の杜へ,萤火之森,导演: 大森贵弘 Takahiro Omori,2011,日本,剧情 爱情 动画 奇幻,8.9,479270,触不到的恋人。
131,Mary and Max,玛丽和马克思,导演: 亚当·艾略特 Adam Elliot,2009,澳大利亚 美国,剧情 喜剧 动画,8.9,396223,你是我最好的朋友，你是我唯一的朋友 。
132,Monsters  Inc.,怪兽电力公司,导演: 彼特·道格特 Pete Docter  大卫·斯沃曼 David Silverman,2001,美国,儿童 喜剧 动画 奇幻 冒险,8.8,603753,不要给它起名字，起了名字就有感情了。
133,The Godfather: Part III,教父3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,美国,剧情 犯罪,9.0,332617,任何信念的力量，都无法改变命运。
134,En man som heter Ove,一个叫欧维的男人决定去死,导演: 汉内斯·赫尔姆 Hannes Holm,2015,瑞典,剧情,8.9,411233,惠及一生的美丽。
135,Big Fish,大鱼,导演: 蒂姆·波顿 Tim Burton,2003,美国,剧情 家庭 奇幻 冒险,8.8,524217,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
136,Toy Story 3,玩具总动员3,导演: 李·昂克里奇 Lee Unkrich,2010,美国,喜剧 动画 奇幻 冒险,8.9,464199,跨度十五年的欢乐与泪水。
137,自白    母亲,告白,导演: 中岛哲也 Tetsuya Nakashima,2010,日本,剧情 悬疑,8.8,625445,没有一人完全善，也没有一人完全恶。
138,Pride & Prejudice,傲慢与偏见,导演: 乔·怀特 Joe Wright,2005,法国 英国 美国,剧情 爱情,8.7,719361,爱是摈弃傲慢与偏见之后的曙光。
139,Despicable Me,神偷奶爸,导演: 皮艾尔·柯芬 Pierre Coffin  克里斯·雷纳德 Chris Renaud,2010,美国 法国,喜剧 动画 冒险,8.6,871392,Mr. I Don't Care其实也有Care的时候。
140,기생충,寄生虫,导演: 奉俊昊 Joon-ho Bong,2019,韩国,剧情,8.8,1249962,None
151,Ready Player One,头号玩家,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2018,美国,动作 科幻 冒险,8.7,1250770,写给影迷，动漫迷和游戏迷的一封情书。
141,부산행,釜山行,导演: 延尚昊 Sang-ho Yeon,2016,韩国,动作 惊悚 灾难,8.6,1087259,揭露人性的丧尸题材力作。
152,신세계,新世界,导演: 朴勋政 Hoon-jung Park,2013,韩国,剧情 犯罪,8.9,358954,要做就做得狠一点，这样才能活下去。
142,써니,阳光姐妹淘,导演: 姜炯哲 Hyeong-Cheol Kang,2011,韩国,剧情 喜剧,8.8,555719,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
153,The Imitation Game,模仿游戏,导演: 莫滕·泰杜姆 Morten Tyldum,2014,英国 美国,剧情 传记 战争 同性,8.7,580892,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
143,射鵰英雄傳之東成西就,射雕英雄传之东成西就,导演: 刘镇伟 Jeffrey Lau,1993,中国香港,喜剧 奇幻 武侠 古装,8.7,581981,百看不厌。 
154,七人の侍,七武士,导演: 黑泽明 Akira Kurosawa,1954,日本,动作 冒险 剧情,9.3,177210,时代悲歌。
144,Django Unchained,被解救的姜戈,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,2012,美国,剧情 动作 西部 冒险,8.8,553334,热血沸腾，那个低俗、性感的无耻混蛋又来了。
155,囍宴,喜宴,导演: 李安 Ang Lee,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,8.9,318143,中国家庭的喜怒哀乐忍。
145,Perfect Blue,未麻的部屋,导演: 今敏 Satoshi Kon,1997,日本,动画 奇幻 惊悚,9.0,282662,好的剧本是，就算你猜到了结局也猜不到全部。
156,The Matrix Revolutions,黑客帝国3：矩阵革命,导演: 拉娜·沃卓斯基 Lana Wachowski  莉莉·沃卓斯基 Lilly Wachowski,2003,美国,动作 科幻,8.8,410609,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
146,더 테러 라이브,恐怖直播,导演: 金秉祐 Byeong-woo Kim,2013,韩国,剧情 犯罪 悬疑,8.7,594956,恐怖分子的“秋菊打官司”。
157,花樣年華,花样年华,导演: 王家卫 Kar Wai Wong,2000,中国香港,剧情 爱情,8.7,538102,偷情本没有这样美。
147,Prince Nezhas Triumph Against Dragon King    Nezha Conquers the Dragon King,哪吒闹海,导演: 王树忱 Shuchen Wang  严定宪 Dingxian Yan,1979,中国大陆,冒险 动画 奇幻,9.1,232708,想你时你在闹海。
176,ハチ公物語,忠犬八公物语,导演: Seijirô Kôyama,1987,日本,剧情,9.2,175637,养狗三日，便会对你终其一生。
158,Inside Out,头脑特工队,导演: 彼特·道格特 Pete Docter  罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,2015,美国,喜剧 动画 冒险,8.8,549652,愿我们都不用长大，每一座城堡都能永远存在。
